"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"1692";"NULL";"FESA SOLAR";"Alcorcón";"MADRID";"RE-109239";"RE/0009/2012";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1693";"NULL";"CENTRAL FOTOVOLTAICA YUSTE-MAQUEDA";"Cadalso de los Vidrios";"MADRID";"RE-109240";"RE/0070/2010";"5,000";"b.1.1.I.1";"Inscripción definitiva"
"1694";"NULL";"DISMAGEL RIVAS";"Rivas-Vaciamadrid";"MADRID";"RE-109241";"RE/0018/2012";"15,000";"b.1.1.I.1";"Inscripción definitiva"
"1695";"NULL";"PLATINO 14";"Colmenar Viejo";"MADRID";"RE-109328";"RE/0037/2009";"40,000";"b.1.1.I.2";"Inscripción definitiva"
"1696";"NULL";"PLATINO 16";"Colmenar Viejo";"MADRID";"RE-109329";"RE/0040/2009";"40,000";"b.1.1.I.2";"Inscripción definitiva"
"1697";"NULL";"PLATINO 18";"Colmenar Viejo";"MADRID";"RE-109330";"RE/0041/2009";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1698";"NULL";"MOLGAS COGENERACIÓN GRACESA, S.A.";"Ciempozuelos";"MADRID";"RE-109331";"RE/0021/2012";"1000,000";"a.1.1";"Inscripción definitiva"
"1699";"NULL";"PLATINO 22";"Colmenar Viejo";"MADRID";"RE-109332";"RE/0038/2009";"40,000";"b.1.1.I.2";"Inscripción definitiva"
"1700";"NULL";"MICROCOGENERACIÓN PERSEO 14";"Móstoles";"MADRID";"RE-109333";"RE/0066/2011";"40,000";"a.1.1";"Inscripción definitiva"
"1701";"NULL";"PLATINO 20";"Colmenar Viejo";"MADRID";"RE-109334";"RE/0039/2009";"35,000";"b.1.1.I.2";"Inscripción definitiva"
"1702";"NULL";"GREEN PLANET MORALEJA 1";"Moraleja de Enmedio";"MADRID";"RE-109767";"RE/0054/2011";"50,000";"b.1.1.I.2";"Inscripción definitiva"
"1703";"NULL";"GREEN PLANET MORALEJA 2";"Moraleja de Enmedio";"MADRID";"RE-109768";"RE/0055/2011";"50,000";"b.1.1.I.2";"Inscripción definitiva"
