"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"840";"NULL";"ROZAS INDUSTRIAL, S.A.";"Rozas de Madrid (Las)";"MADRID";"RE-008473";"RED-112/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"841";"NULL";"ROZAS INDUSTRIAL, S.A.";"Rozas de Madrid (Las)";"MADRID";"RE-008437";"RED-111/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"842";"NULL";"CARBURANTES Y SERVICIOS JOVIPE, S.L.";"Rozas de Madrid (Las)";"MADRID";"RE-008435";"RED-110/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"843";"NULL";"ZERCHA ARRENDAMIENTOS Y SERVICIOS, C.B.";"Leganés";"MADRID";"RE-008538";"RED-119/b.1.1";"10,000";"b.1.1";"Inscripción definitiva"
"844";"NULL";"POLIDEPORTIVO CARLOS RUIZ";"Pozuelo de Alarcón";"MADRID";"RE-008309";"RED-105-b.1.1.";"19,200";"b.1.1";"Inscripción definitiva"
"845";"NULL";"WINTUS IBERICA, SA";"Madrid";"MADRID";"RE-008537";"RED-120/b.1.1";"90,000";"b.1.1";"Inscripción definitiva"
"846";"NULL";"INMOBILIARIA LORENA, SA";"Leganés";"MADRID";"RE-008929";"RED-153/b.1.1";"30,000";"b.1.1";"Inscripción definitiva"
"847";"NULL";"POLIDEPORTIVO MUNICIPAL";"Griñón";"MADRID";"RE-028369";"RED-106/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"848";"NULL";"BOMBAS GRUNDFOS ESPAÑA, SA";"Algete";"MADRID";"RE-008485";"RED-106/b.1.1";"10,000";"b.1.1";"Inscripción definitiva"
"849";"NULL";"ASONDAL";"Alcorcón";"MADRID";"RE-010009";"RED-180/06/b.1.1";"40,000";"b.1.1";"Inscripción definitiva"
"850";"NULL";"JESUS SANCHEZ-SECO CANO";"Leganés";"MADRID";"RE-014684";"RE/1218/2006";"9,900";"b.1.1";"Inscripción definitiva"
"851";"NULL";"AYTO DE ALCOBENDAS-C.E.I.P VALDEPALITOS";"Alcobendas";"MADRID";"RE-008704";"RED-133/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"852";"NULL";"JIHUPA FUENLABRADA";"Fuenlabrada";"MADRID";"RE-008539";"RED-123/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"853";"NULL";"JIHUPA-PINTO";"Pinto";"MADRID";"RE-008561";"RED-126/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"854";"NULL";"JIHUPA HUMANES";"Humanes de Madrid";"MADRID";"RE-008564";"RED-128/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"855";"NULL";"C.P. PATONES";"Patones";"MADRID";"RE-009051";"RED-157/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"856";"NULL";"TELEFONICA GESTION Sº COMPARTIDOS ESPAÑA, SAU";"Madrid";"MADRID";"RE-010359";"RE/1224/2006";"100,000";"b.1.1";"Inscripción definitiva"
"857";"NULL";"APARTAMENTOS PEREZ JIMENEZ, SA";"Madrid";"MADRID";"RE-014049";"RE/1255/2006";"5,000";"b.1.1";"Inscripción definitiva"
"858";"NULL";"DESARROLLOS INDUSTRIALES CENTRO, SL";"Humanes de Madrid";"MADRID";"RE-014685";"RE/1253/2006";"100,000";"b.1.1";"Inscripción definitiva"
"859";"NULL";"JOSE LUIS DIAZ LOPEZ";"Villanueva de la Cañada";"MADRID";"RE-008708";"RED-130/b.1.1.";"3,300";"b.1.1";"Inscripción definitiva"
"860";"NULL";"JESUS PINTADO PUENTE";"Getafe";"MADRID";"RE-008707";"RED-137/b.1.1";"9,000";"b.1.1";"Inscripción definitiva"
"861";"NULL";"MANUELA BODI MICO, SA";"Boadilla del Monte";"MADRID";"RE-008823";"RED-146/b.1.1";"2,500";"b.1.1";"Inscripción definitiva"
"862";"NULL";"JOSE ALGUACIL ROLDAN";"Getafe";"MADRID";"RE-008542";"RED-124/b.1.1";"3,500";"b.1.1";"Inscripción definitiva"
"863";"NULL";"ANTONIO DE MIGUEL, S.A.";"Pinto";"MADRID";"RE-008484";"RED-114/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"864";"NULL";"CENTRO EDUCACION  AMBIENTAL ""EL AGUILA""";"Chapinería";"MADRID";"RE-008540";"RED-122/b.1.1";"3,300";"b.1.1";"Inscripción definitiva"
"865";"NULL";"COLEGIO PUBLICO";"Ambite";"MADRID";"RE-008775";"RED-141/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"866";"NULL";"COLEGIO PUBLICO GREGORIO CANELLA";"Villalbilla";"MADRID";"RE-008705";"RED-135/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"867";"NULL";"CASA JUVENTUD-S. SEBATIAN DE LOS REYES";"San Sebastián de los Reyes";"MADRID";"RE-009044";"RED-155/b.1.1";"44,000";"b.1.1";"Inscripción definitiva"
"868";"NULL";"ROO, S.A.";"Humanes de Madrid";"MADRID";"RE-008482";"RED-115/b.1.1";"9,900";"b.1.1";"Inscripción definitiva"
"869";"NULL";"FRANCISCO RUIZ CABALLERO";"Boalo (El)";"MADRID";"RE-008541";"RED-125/b.1.1";"2,500";"b.1.1";"Inscripción definitiva"
"870";"NULL";"ALTERNATIVAS ENERGETICAS VAQUERO, SL";"Villar del Olmo";"MADRID";"RE-008472";"RED-109/b.1.1";"30,200";"b.1.1";"Inscripción definitiva"
"871";"NULL";"EURORESA, S.L.";"Pinto";"MADRID";"RE-008483";"RE/0703/2006";"15,000";"b.1.1";"Inscripción definitiva"
"872";"NULL";"BLAZQUEZ CHECA, SL";"Humanes de Madrid";"MADRID";"RE-008480";"RED-116/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"873";"NULL";"DEMETRIO HUERTA MARTINEZ";"Humanes de Madrid";"MADRID";"RE-008481";"RED-118/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"874";"NULL";"FOTOVOLTAICA VILLALVILLA, S.L.";"Villalbilla";"MADRID";"RE-013563";"RE/1271/2006";"71,300";"b.1.1";"Inscripción definitiva"
"875";"NULL";"MARÍA LUISA MORENO PANIAGUA";"Nuevo Baztán";"MADRID";"RE-008703";"RED-134/b.1.1";"7,500";"b.1.1";"Inscripción definitiva"
"876";"NULL";"Mª ANTONIA SALINAS OLIVA";"Galapagar";"MADRID";"RE-011788";"RE/1260/2006";"5,000";"b.1.1";"Inscripción definitiva"
"877";"NULL";"CENTRO MUNICIPAL DE FORMACION";"San Sebastián de los Reyes";"MADRID";"RE-009170";"RED-159/b.1.1";"9,900";"b.1.1";"Inscripción definitiva"
"878";"NULL";"POLIDEPORTIVO DE HOYO DE MANZANARES";"Hoyo de Manzanares";"MADRID";"RE-008928";"RED-152/b.1.1";"30,000";"b.1.1";"Inscripción definitiva"
"879";"NULL";"GIMNASIO COLEGIO VIRGEN DE LA ENCINA";"Hoyo de Manzanares";"MADRID";"RE-008927";"RED-151/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"880";"NULL";"FVCR-LABRADORES 8";"Boadilla del Monte";"MADRID";"RE-008706";"RED-136/b.1.1";"40,600";"b.1.1";"Inscripción definitiva"
"881";"NULL";"FVCR- ATENAS 41";"Rozas de Madrid (Las)";"MADRID";"RE-008709";"RED-139/b.1.1";"5,400";"b.1.1";"Inscripción definitiva"
"882";"NULL";"IF EN EDIFICIO POLIVALENTE";"Buitrago del Lozoya";"MADRID";"RE-009488";"RED-165/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"883";"NULL";"ELENA FERREIRA REJAS";"Colmenar Viejo";"MADRID";"RE-008439";"RED-107/b.1.1";"4,500";"b.1.1";"Inscripción definitiva"
"884";"NULL";"FVCR-FRANCISCO PACHECO 6";"Collado Mediano";"MADRID";"RE-008777";"RED-143/b.1.1";"8,900";"b.1.1";"Inscripción definitiva"
"885";"NULL";"MIRASOL SILILLOS, S.L.";"Valdetorres de Jarama";"MADRID";"RE-008565";"RED-127/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"886";"NULL";"BOLARQUE, 4";"Madrid";"MADRID";"RE-008710";"RED-131/b.1.1";"12,000";"b.1.1";"Inscripción definitiva"
"887";"NULL";"COMUNIDAD PROPIETARIOS S/ RONDA DE ATOCHA, 28";"Madrid";"MADRID";"RE-008824";"RED-147/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"888";"NULL";"POLIDEPORTIVO VALDELASFUENTES";"Alcobendas";"MADRID";"RE-013562";"RE/1116/2006";"782,000";"a.1.1";"Inscripción definitiva"
"889";"NULL";"SAMPOL INGENIERÍA Y OBRAS, S.A.";"Madrid";"MADRID";"RE-004917";"RED-014/05/a.1.1";"33000,000";"a.1.1";"Inscripción definitiva"
"890";"NULL";"JOACHIM SCHMIDT";"Valdemorillo";"MADRID";"RE-008245";"RED-096/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"891";"NULL";"AYTO. ALCOBENDAS-VALDEPALITOS EDIFICIO C";"Alcobendas";"MADRID";"RE-008171";"RED-103/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"892";"NULL";"MANUEL MORENO SANCHEZ";"Valdemorillo";"MADRID";"RE-008300";"RED-104/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"893";"NULL";"KMMB IBERICA, SL";"Colmenar Viejo";"MADRID";"RE-008756";"RED-132/b.1.1";"22,400";"b.1.1";"Inscripción definitiva"
"894";"NULL";"TUBOS COLMENAR, SA";"Colmenar Viejo";"MADRID";"RE-008757";"RED-138/b.1.1.";"32,200";"b.1.1";"Inscripción definitiva"
"895";"NULL";"BENITO LAIZ CASTRO";"Bustarviejo";"MADRID";"RE-008778";"RED-145/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"896";"NULL";"EMPRESA MUNICIPAL TRANSPORTES MADRID";"Madrid";"MADRID";"RE-009045";"RED-156/b.1.1";"100,000";"b.1.1";"Inscripción definitiva"
"897";"NULL";"PILAR MONTES";"Miraflores de la Sierra";"MADRID";"RE-009214";"RED-161/b.1.1";"3,500";"b.1.1";"Inscripción definitiva"
"898";"NULL";"ENRIQUE MESTRE BACHOFER";"Madrid";"MADRID";"RE-009226";"RED-160/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"899";"NULL";"ANGOJA 2002, SL";"Torrejón de Ardoz";"MADRID";"RE-009227";"RED-162/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"900";"NULL";"SUSANA FERNANDEZ BUENO";"Valdetorres de Jarama";"MADRID";"RE-009452";"(RE/1288/2006) RED-163/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"901";"NULL";"PROFIL SOCIEDAD COOPERATIVA LIMITADA";"Leganés";"MADRID";"RE-009798";"RED-168/b.1.1";"16,100";"b.1.1";"Inscripción definitiva"
"902";"NULL";"FRANCISCO JOSE HOYAS FRONTERA";"Meco";"MADRID";"RE-009799";"RE/1314/2006";"5,000";"b.1.1";"Inscripción definitiva"
"903";"NULL";"C. P. JORGE GUILLEN";"San Martín de la Vega";"MADRID";"RE-009827";"RED-167/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"904";"NULL";"CARLOS LOPEZ GIL";"Majadahonda";"MADRID";"RE-009833";"RED-169/b.1.1";"2,500";"b.1.1";"Inscripción definitiva"
"905";"NULL";"PABLO GALLEGO SAN MIGUEL";"Valdemorillo";"MADRID";"RE-009835";"RED-171/b.1.1";"10,000";"b.1.1";"Inscripción definitiva"
"906";"NULL";"Mª DOLORES SANCHEZ CARRASCO";"Rivas-Vaciamadrid";"MADRID";"RE-009837";"RED-173/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"907";"NULL";"Mª CONSUELO MORENO VILLAFUERTES";"Valdemoro";"MADRID";"RE-009872";"RED-174/b.1.1";"90,000";"b.1.1";"Inscripción definitiva"
"908";"NULL";"Mª BLANCA TATO RODRIGUEZ";"Villaviciosa de Odón";"MADRID";"RE-009873";"RED-177/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"909";"NULL";"PEDRO AGUSTIN DE LA FUENTE";"Velilla de San Antonio";"MADRID";"RE-009887";"RED-176/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"910";"NULL";"OLIMPIA FERNANDEZ ROMAN";"Villaviciosa de Odón";"MADRID";"RE-009888";"RED-178/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"911";"NULL";"JAVIER CATALAN LIBRADA";"Humanes de Madrid";"MADRID";"RE-010010";"RED-179/06/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"912";"NULL";"GONZALO CHACON 16";"Aranjuez";"MADRID";"RE-010112";"RE/1475/2006";"25,000";"b.1.1";"Inscripción definitiva"
"913";"NULL";"ESPINOSA";"Fresno de Torote";"MADRID";"RE-010138";"RE/1483/2006";"5,000";"b.1.1";"Inscripción definitiva"
"914";"NULL";"JUTROVA DE TRANSPORTES, SL";"Pinto";"MADRID";"RE-010285";"RE/1070/2006";"90,000";"b.1.1";"Inscripción definitiva"
"915";"NULL";"JELFAM COMERCIAL DE FONTANERIA, SL";"Loeches";"MADRID";"RE-010286";"RE/1149/2006";"15,000";"b.1.1";"Inscripción definitiva"
"916";"NULL";"GUARUYA INVERSIONES, C.B.";"Aranjuez";"MADRID";"RE-010287";"RE/1321/2006";"25,000";"b.1.1";"Inscripción definitiva"
"917";"NULL";"PROMOCIONES JEROFERMA, SL";"Colmenar Viejo";"MADRID";"RE-010288";"RE/1332/2006";"100,000";"b.1.1";"Inscripción definitiva"
"918";"NULL";"NAVALMELENDRO-GRUPO 2";"Colmenar Viejo";"MADRID";"RE-011221";"RE/1354/2006";"26,000";"b.1.1";"Inscripción definitiva"
"919";"NULL";"MURTOSA, S.L.";"Coslada";"MADRID";"RE-011222";"RE/1144/2006";"27,600";"b.1.1";"Inscripción definitiva"
"920";"NULL";"I.S. TELEFONICA,SA";"Madrid";"MADRID";"RE-011223";"RE-1219/2006";"100,000";"b.1.1";"Inscripción definitiva"
"921";"NULL";"INMOBILIARIA XIFRE, SA";"Rivas-Vaciamadrid";"MADRID";"RE-011224";"RE/1504/2006";"29,950";"b.1.1";"Inscripción definitiva"
"922";"NULL";"RIO SELLA, 7";"Hoyo de Manzanares";"MADRID";"RE-011225";"RE/1361/2006";"10,500";"b.1.1";"Inscripción definitiva"
"923";"NULL";"TRIPLE Q, SA";"Arganda del Rey";"MADRID";"RE-011226";"RE/1522/2006";"15,000";"b.1.1";"Inscripción definitiva"
"924";"NULL";"EICHEWALD HCL, SL";"Alcobendas";"MADRID";"RE-011227";"RE/1496/2006";"7,500";"b.1.1";"Inscripción definitiva"
"925";"NULL";"C. F. GRAN HOTEL COLON DE MADRID";"Madrid";"MADRID";"RE-011228";"RE/1500/2006";"5,000";"b.1.1";"Inscripción definitiva"
"926";"NULL";"TELEFONICA DE ESPAÑA, SA";"Madrid";"MADRID";"RE-011256";"RE/1223/2006";"100,000";"b.1.1";"Inscripción definitiva"
"927";"NULL";"CAMPANILLAS";"Santa María de la Alameda";"MADRID";"RE-011257";"RE/1323/2006";"2,500";"b.1.1";"Inscripción definitiva"
"928";"NULL";"DAVID VELASCO MUÑOZ";"Fresnedillas de la Oliva";"MADRID";"RE-011258";"RE/1325/2006";"5,000";"b.1.1";"Inscripción definitiva"
"929";"NULL";"ECONOVA, SL";"Madrid";"MADRID";"RE-011259";"RE/1326/2006";"5,000";"b.1.1";"Inscripción definitiva"
"930";"NULL";"TELEFONICA TELECOMUNICA. PÚBLICAS, SA";"Madrid";"MADRID";"RE-011260";"RE/1230/2006";"100,000";"b.1.1";"Inscripción definitiva"
"931";"NULL";"CIA. ESPAÑOLA TECNOLOGÍA, SAU";"Madrid";"MADRID";"RE-011261";"RE/1231/2006";"100,000";"b.1.1";"Inscripción definitiva"
"932";"NULL";"TELEFONICA SOLUCIONES DE INFORMATICA Y S.";"Madrid";"MADRID";"RE-011284";"RE/1222/2006";"100,000";"b.1.1";"Inscripción definitiva"
"933";"NULL";"TELEFÓNICA GESTIÓN INTEGRAL DE EDIFICIOS Y SERVICIOS, S.L.U.";"Madrid";"MADRID";"RE-011285";"RE/1226/2006";"100,000";"b.1.1";"Inscripción definitiva"
"934";"NULL";"TELEFONICA SOLUCIONES SECTORIALES, SAU";"Madrid";"MADRID";"RE-011304";"RE/1220/2006";"100,000";"b.1.1";"Inscripción definitiva"
"935";"NULL";"ACENS TECHNOLOGIES, S.L.";"Madrid";"MADRID";"RE-011305";"RE/1227/2006";"100,000";"b.1.1";"Inscripción definitiva"
"936";"NULL";"PABELLON MORALEJA";"Moraleja de Enmedio";"MADRID";"RE-011437";"RE/1531/2006";"10,000";"b.1.1";"Inscripción definitiva"
"937";"NULL";"PISCINA MORALEJA";"Moraleja de Enmedio";"MADRID";"RE-011438";"RE/1532/2006";"5,000";"b.1.1";"Inscripción definitiva"
"938";"NULL";"TESON INMOBILIARIA, SA";"Boadilla del Monte";"MADRID";"RE-014021";"RE/0032/2007";"40,000";"b.1.1";"Inscripción definitiva"
"939";"NULL";"BV PROINVIAL, SA";"Móstoles";"MADRID";"RE-014053";"RE/0036/2007";"15,000";"b.1.1";"Inscripción definitiva"
"940";"NULL";"IMPROCESAN, S.L.";"Madrid";"MADRID";"RE-013561";"RE/0057/2007";"64,000";"b.1.1";"Inscripción definitiva"
"941";"NULL";"NAVE SISTEMAS DE CAUDAL HIDRAULICO, SL";"Colmenar Viejo";"MADRID";"RE-014182";"RE/0117/2007";"20,000";"b.1.1";"Inscripción definitiva"
"942";"NULL";"MADERAS CASADO";"Alcorcón";"MADRID";"RE-014050";"RE/1328/2006";"20,000";"b.1.1";"Inscripción definitiva"
"943";"NULL";"JESUS LASO CARBAJO";"Tres Cantos";"MADRID";"RE-011789";"RE/1345/2006";"4,600";"b.1.1";"Inscripción definitiva"
"944";"NULL";"CESPA, SA";"Coslada";"MADRID";"RE-014278";"RE/1347/2006";"5,000";"b.1.1";"Inscripción definitiva"
"945";"NULL";"I.E.S SEVERO OCHOA";"Alcobendas";"MADRID";"RE-014223";"RE/1348/2006";"2,500";"b.1.1";"Inscripción definitiva"
"946";"NULL";"CASBEGA FV";"Fuenlabrada";"MADRID";"RE-013564";"RE/1351/2006";"100,000";"b.1.1";"Inscripción definitiva"
"947";"NULL";"IES SENDA GALIANA";"Torres de la Alameda";"MADRID";"RE-021589";"RE/1367/2006";"2,200";"b.1.1";"Inscripción definitiva"
"948";"NULL";"ISF FV TELEFONICA. FASE III - ZONA 1";"Madrid";"MADRID";"RE-013565";"RE/1368/2006";"100,000";"b.1.1";"Inscripción definitiva"
"949";"NULL";"ISF FV TELEFONICA. FASE III - ZONA 4";"Madrid";"MADRID";"RE-013566";"RE/1371/2006";"100,000";"b.1.1";"Inscripción definitiva"
"950";"NULL";"EURIDICE";"Valdemoro";"MADRID";"RE-014051";"RE/1374/2006";"5,000";"b.1.1";"Inscripción definitiva"
"951";"NULL";"PUERTA DE MIRAFLORES, S.L.";"Miraflores de la Sierra";"MADRID";"RE-011472";"RE/1420/2006";"10,000";"b.1.1";"Inscripción definitiva"
"952";"NULL";"FUNDACION METROPOLI";"Alcobendas";"MADRID";"RE-018436";"RE/0072/2007";"1,500";"b.1.1";"Inscripción definitiva"
"953";"NULL";"DELSOL-13";"Arganda del Rey";"MADRID";"RE-022014";"RE/0062/2007";"22,800";"b.1.1";"Inscripción definitiva"
"954";"NULL";"ANGELINA LANSEROS HERNANDEZ";"Torrelodones";"MADRID";"RE-013560";"RE/0022/2007";"5,000";"b.1.1";"Inscripción definitiva"
"955";"NULL";"I.T.V. DE LA COMUNIDAD DE MADRID";"Getafe";"MADRID";"RE-014181";"RE/0035/2007";"95,000";"b.1.1";"Inscripción definitiva"
"956";"NULL";"DISTRIBUIDORA ITALICA, SA";"Getafe";"MADRID";"RE-013761";"RE/0037/2007";"64,000";"b.1.1";"Inscripción definitiva"
"957";"NULL";"CENTRO CIVICO EL CERRO";"Coslada";"MADRID";"RE-011958";"RE/1108/2006";"15,000";"b.1.1";"Inscripción definitiva"
"958";"NULL";"MIGUEL ALONSO ABELLA";"Collado Villalba";"MADRID";"RE-012873";"RE/1362/2006";"2,500";"b.1.1";"Inscripción definitiva"
"959";"NULL";"POLIDEPORTIVO EL OLIVO";"Coslada";"MADRID";"RE-012093";"RE/1304/2006";"5,000";"b.1.1";"Inscripción definitiva"
"960";"NULL";"C. CULTURAL MARGARITA NELKEN";"Coslada";"MADRID";"RE-012094";"RE/1183/2006";"10,000";"b.1.1";"Inscripción definitiva"
"961";"NULL";"TELELECTRA, SA";"Leganés";"MADRID";"RE-012095";"RE/1346/2006";"15,000";"b.1.1";"Inscripción definitiva"
"962";"NULL";"CRISTALERIA CABEZUELA";"San Martín de Valdeiglesias";"MADRID";"RE-012096";"RE/1384/2006";"20,000";"b.1.1";"Inscripción definitiva"
"963";"NULL";"PUNTO LIMPIO";"Coslada";"MADRID";"RE-012097";"RE/1185/2006";"7,500";"b.1.1";"Inscripción definitiva"
"964";"NULL";"CENTROS ESCOLARES BALDER, SL";"Rozas de Madrid (Las)";"MADRID";"RE-012098";"RE/0030/2007";"7,500";"b.1.1";"Inscripción definitiva"
"965";"NULL";"MODESTO VAZQUEZ WINKLER";"Villaviciosa de Odón";"MADRID";"RE-011465";"RE/0016/2007";"4,600";"b.1.1";"Inscripción definitiva"
"966";"NULL";"IFAMA 2012, S.L.";"Madrid";"MADRID";"RE-012073";"RE/0001/2007";"10,000";"b.1.1";"Inscripción definitiva"
"967";"NULL";"LEG30FV303";"Getafe";"MADRID";"RE-012150";"RE/1352/2006";"30,000";"b.1.1";"Inscripción definitiva"
"968";"NULL";"Mª DEL MAR LEÓN VILLALBA";"Boadilla del Monte";"MADRID";"RE-012151";"RE/1477/2006";"5,000";"b.1.1";"Inscripción definitiva"
"969";"NULL";"ESTADIO MUNICIPAL EL DELEITE";"Aranjuez";"MADRID";"RE-012152";"RE/0033/2007";"30,000";"b.1.1";"Inscripción definitiva"
"970";"NULL";"CENTRO INTEGRAL DE ARTESANIA Y C. DE TURISMO";"Torremocha de Jarama";"MADRID";"RE-012401";"RE/1071/2006";"9,900";"b.1.1";"Inscripción definitiva"
"971";"NULL";"TORRE GUASCOR-INST. ENERGIA SOLAR DE MADRID";"Madrid";"MADRID";"RE-012402";"RE/1158/2006";"25,000";"b.1.1";"Inscripción definitiva"
"972";"NULL";"MINI-CENTRAL FOTOVOLTAICA NACEX";"Leganés";"MADRID";"RE-012403";"RE/1344/2006";"17,500";"b.1.1";"Inscripción definitiva"
"973";"NULL";"CENTRO JUVENTUD EL ROMPEOLAS";"Coslada";"MADRID";"RE-012404";"RE/1379/2006";"10,000";"b.1.1";"Inscripción definitiva"
"974";"NULL";"SERINPREN, SL";"Fuenlabrada";"MADRID";"RE-012405";"RE/1480/2006";"30,000";"b.1.1";"Inscripción definitiva"
"975";"NULL";"EMILIANO DE DOMINGO (Fase nº1)";"Ajalvir";"MADRID";"RE-012406";"RE/1495/2006";"90,000";"b.1.1";"Inscripción definitiva"
"976";"NULL";"EMILIANO DE DOMINGO (Fase nº2)";"Ajalvir";"MADRID";"RE-012406";"";"10,000";"b.1.1";"Inscripción definitiva"
"977";"NULL";"ESTHER DE JUANA LOPEZ";"Villar del Olmo";"MADRID";"RE-012433";"RE/1287/2006";"5,000";"b.1.1";"Inscripción definitiva"
"978";"NULL";"DELEITE INVERSIONES, SL";"Aranjuez";"MADRID";"RE-012434";"RE/1267/2006";"80,000";"b.1.1";"Inscripción definitiva"
"979";"NULL";"GRUPO MARTEVISA 2002, S.A.";"Valdemoro";"MADRID";"RE-012435";"RE/1315/2006";"100,000";"b.1.1";"Inscripción definitiva"
"980";"NULL";"GRUPO 3 ENERGIAS ALTERNATIVAS, SL";"San Martín de Valdeiglesias";"MADRID";"RE-013115";"RE/1381/2006";"90,000";"b.1.1";"Inscripción definitiva"
"981";"NULL";"FOTOVOLTAICA SANTA HORTENSIA";"Madrid";"MADRID";"RE-013116";"RE/1488/2006";"20,000";"b.1.1";"Inscripción definitiva"
"982";"NULL";"ISF FV TELEFONICA. FASE III - ZONA3";"Madrid";"MADRID";"RE-013123";"RE/1370/2006";"100,000";"b.1.1";"Inscripción definitiva"
"983";"NULL";"ISF FV TELEFONICA. FASE III - ZONA 5";"Madrid";"MADRID";"RE-013124";"RE/1372/2006";"100,000";"b.1.1";"Inscripción definitiva"
"984";"NULL";"JULIO CLAIRAC, SL";"San Fernando de Henares";"MADRID";"RE-013125";"RE/1380/2006";"13,800";"b.1.1";"Inscripción definitiva"
"985";"NULL";"POLIDEPORTIVO MUNICIPAL DEL AYTO. DE EL BERRUECO";"Berrueco (El)";"MADRID";"RE-013126";"RE/0113/2007";"5,000";"b.1.1";"Inscripción definitiva"
"986";"NULL";"COLEGIO PUBLICO PICO DE LA MIEL";"Cabrera (La)";"MADRID";"RE-013127";"RE/0116/2007";"5,000";"b.1.1";"Inscripción definitiva"
"987";"NULL";"ISF FV TELEFONICA. FASE III - ZONA 2";"Madrid";"MADRID";"RE-013128";"RE/1369/2006";"100,000";"b.1.1";"Inscripción definitiva"
"988";"NULL";"COMPLEJO POLIDEPORTIV. VALDELASFUENTES";"Alcobendas";"MADRID";"RE-013129";"RE/1166/2006";"15,000";"b.1.1";"Inscripción definitiva"
"989";"NULL";"SFCR 2,5 COLMENAR";"Colmenar Viejo";"MADRID";"RE-013567";"RE/1501/2006";"2,500";"b.1.1";"Inscripción definitiva"
"990";"NULL";"HERNAN AUTOMOCION";"Móstoles";"MADRID";"RE-014052";"RE/1476/2006";"60,000";"b.1.1";"Inscripción definitiva"
"991";"NULL";"ALDAUTO CAR, SA";"Tres Cantos";"MADRID";"RE-014183";"RE/0127/2007";"82,800";"b.1.1";"Inscripción definitiva"
"992";"NULL";"CAMPO FUTBOL ALBERTO RUIZ";"Colmenar Viejo";"MADRID";"RE-014224";"RE/1494/2006";"25,000";"b.1.1";"Inscripción definitiva"
"993";"NULL";"JAIME GARCIA-LEGAZ PONCE";"Boadilla del Monte";"MADRID";"RE-014683";"RE/0102/2007";"5,000";"b.1.1";"Inscripción definitiva"
"994";"NULL";"AYUNTAMIENTO DE COLMENAREJO- SALA MULTIUSOS";"Colmenarejo";"MADRID";"RE-014686";"RE/1465/2006";"5,000";"b.1.1";"Inscripción definitiva"
"995";"NULL";"SANTIAGO MARTIN BARAJAS";"Sevilla la Nueva";"MADRID";"RE-014687";"RE/1492/2006";"2,500";"b.1.1";"Inscripción definitiva"
"996";"NULL";"ALFREDO MARTIN LOPEZ";"San Lorenzo de El Escorial";"MADRID";"RE-014688";"RE/0007/2007";"5,000";"b.1.1";"Inscripción definitiva"
"997";"NULL";"SFCR CASA DE NIÑOS-LOS ALMENDROS";"Villalbilla";"MADRID";"RE-014689";"RE/0063/2007";"5,000";"b.1.1";"Inscripción definitiva"
"998";"NULL";"FERNANDO MARTIN MARTIN";"Collado Villalba";"MADRID";"RE-014690";"RE/0149/2007";"3,800";"b.1.1";"Inscripción definitiva"
"999";"NULL";"MIGUEL ANGEL HERNANDEZ SORIA";"Villanueva de la Cañada";"MADRID";"RE-014716";"RE/1491/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1000";"NULL";"SFCR AUTO FESA";"Alpedrete";"MADRID";"RE-014717";"RE/0114/2007";"46,000";"b.1.1";"Inscripción definitiva"
"1001";"NULL";"SAN ERASMO 42";"Madrid";"MADRID";"RE-015080";"RE/0025/2007";"9,900";"b.1.1";"Inscripción definitiva"
